target_pnc,target_name,first-association,count-per-first-association
Abschiebe-Kretschmann,Winfried Kretschmann,ministerpräsident,2
Abschiebe-Kretschmann,Winfried Kretschmann,migration,1
Abschiebe-Kretschmann,Winfried Kretschmann,grüne,1
Abschiebe-Kretschmann,Winfried Kretschmann,grün,1
Abschiebe-Kretschmann,Winfried Kretschmann,politiker,1
Abschiebe-Kretschmann,Winfried Kretschmann,politikerin,1
Abschiebe-Kretschmann,Winfried Kretschmann,schwäbisch,1
Abschiebe-Seehofer,Horst Seehofer,unsympathisch,1
Abschiebe-Seehofer,Horst Seehofer,arbeitet hart gegen asylanten,1
Abschiebe-Seehofer,Horst Seehofer,csu-politiker,1
Abschiebe-Seehofer,Horst Seehofer,innenminister aus bayern,1
Abschiebe-Seehofer,Horst Seehofer,cdu,1
Abschiebe-Seehofer,Horst Seehofer,rechter populist,1
Abschiebe-Seehofer,Horst Seehofer,66. geburtstag 66 abschiebungen,1
Abschiebe-Seehofer,Horst Seehofer,geburtstag,1
Abschiebe-Seehofer,Horst Seehofer,abschiebung,1
Abschiebe-Seehofer,Horst Seehofer,csu,1
Abschiebe-Seehofer,Horst Seehofer,ehemaliger ministerpräsident bayern,1
AfD-Höcke,Björn Höcke,nazi,3
AfD-Höcke,Björn Höcke,politiker,3
AfD-Höcke,Björn Höcke,rassistisch,1
AfD-Höcke,Björn Höcke,hohes parteimitglied,1
AfD-Höcke,Björn Höcke,völkisch,1
AfD-Höcke,Björn Höcke,rechts,1
AfD-Höcke,Björn Höcke,unsympatisch,1
AfD-Höcke,Björn Höcke,landtag,1
AfD-Höcke,Björn Höcke,rechtsextrem,1
AfD-Meuthen,Jörg Meuthen,rechts,2
AfD-Meuthen,Jörg Meuthen,politiker,2
AfD-Meuthen,Jörg Meuthen,früherer afd-chef,1
AfD-Meuthen,Jörg Meuthen,afd-gründer,1
AfD-Meuthen,Jörg Meuthen,afd,1
AfD-Meuthen,Jörg Meuthen,vorsitzender afd,1
AfD-Meuthen,Jörg Meuthen,nazi,1
AfD-Meuthen,Jörg Meuthen,rechtsextrem,1
Affären-Scholz,Olaf Scholz,spd,3
Affären-Scholz,Olaf Scholz,cum-ex affäre,1
Affären-Scholz,Olaf Scholz,untreue,1
Affären-Scholz,Olaf Scholz,cum-ex-affaire,1
Affären-Scholz,Olaf Scholz,bundeskanzler,1
Affären-Scholz,Olaf Scholz,mögliche politische kontroversen,1
Affären-Scholz,Olaf Scholz,politiker,1
Agenda-Schröder,Gerhard Schröder,spd,4
Agenda-Schröder,Gerhard Schröder,agenda 2010,3
Agenda-Schröder,Gerhard Schröder,früherer deutscher bundeskanzler,1
Aktenkoffer-Schäuble,Wolfgang Schäuble,cdu,2
Aktenkoffer-Schäuble,Wolfgang Schäuble,schwarzgeld,1
Aktenkoffer-Schäuble,Wolfgang Schäuble,finanzpolitik,1
Aktenkoffer-Schäuble,Wolfgang Schäuble,bundestagspräsident,1
Aktenkoffer-Schäuble,Wolfgang Schäuble,formell,1
Aktenkoffer-Schäuble,Wolfgang Schäuble,100000 mark,1
Aktenkoffer-Schäuble,Wolfgang Schäuble,nicht gemeldete parteispenden,1
Aktien-Merz,Friedrich Merz,cdu,2
Aktien-Merz,Friedrich Merz,geschäftsmann,1
Aktien-Merz,Friedrich Merz,cdu-politiker,1
Aktien-Merz,Friedrich Merz,er wirkt wirtschaftsnah,1
Aktien-Merz,Friedrich Merz,reich,1
Aktien-Merz,Friedrich Merz,blackrock,1
Aktien-Merz,Friedrich Merz,reichtum,1
Aktien-Merz,Friedrich Merz,besitz von aktien und wertpapiere,1
Alleingang-Söder,Markus Söder,kompromisslos,1
Alleingang-Söder,Markus Söder,dass der söder lieber mit bayern einen alleingang macht anstatt mit anderen bundesländern zusammenzuarbeiten,1
Alleingang-Söder,Markus Söder,cdu,1
Alleingang-Söder,Markus Söder,sturkopf,1
Alleingang-Söder,Markus Söder,ministerpräsident,1
Alleingang-Söder,Markus Söder,politiker,1
Alleingang-Söder,Markus Söder,ego,1
Alleingang-Söder,Markus Söder,franke,1
Alleingang-Söder,Markus Söder,bayern,1
Alleingang-Söder,Markus Söder,ministerpräsident von bayern,1
Alleingang-Söder,Markus Söder,minister,1
Amigo-Strauß,Franz Josef Strauß,csu,3
Amigo-Strauß,Franz Josef Strauß,vetternwirtschaft,1
Amigo-Strauß,Franz Josef Strauß,ministerpräsident,1
Amigo-Strauß,Franz Josef Strauß,amigo-affäre,1
Amigo-Strauß,Franz Josef Strauß,korruption,1
Amigo-Strauß,Franz Josef Strauß,früherer ministerpräsident bayern,1
Amigo-Strauß,Franz Josef Strauß,ehemaliger bayrischer ministerpräsident,1
Ampel-Söder,Markus Söder,wendehals,1
Ampel-Söder,Markus Söder,er arbeitet sich nur an der ampel ab,1
Ampel-Söder,Markus Söder,csu,1
Ampel-Söder,Markus Söder,csu-vorsitz,1
Ampel-Söder,Markus Söder,söder kritisiert nur die ampel obwohl die cdu/csu an vielen themen im lande schuld ist.,1
Ampel-Söder,Markus Söder,gegen die ampel,1
Ampel-Söder,Markus Söder,bayern,1
Ampel-Söder,Markus Söder,überheblich,1
Apartheid-Gabriel,Sigmar Gabriel,niedersachsen,2
Apartheid-Gabriel,Sigmar Gabriel,spd-politiker,1
Apartheid-Gabriel,Sigmar Gabriel,rechts,1
Apartheid-Gabriel,Sigmar Gabriel,spd,1
Armani-Schröder,Gerhard Schröder,bundeskanzler,4
Armani-Schröder,Gerhard Schröder,gerd-show,1
Armani-Schröder,Gerhard Schröder,piekfeiner kanzler,1
Armani-Schröder,Gerhard Schröder,teure anzüge,1
Armani-Schröder,Gerhard Schröder,reich,1
Armani-Schröder,Gerhard Schröder,altkanzler,1
Armani-Schröder,Gerhard Schröder,politiker,1
Armani-Schröder,Gerhard Schröder,altbundeskanzler,1
Asyltourismus-Söder,Markus Söder,politik,2
Asyltourismus-Söder,Markus Söder,bayern,2
Asyltourismus-Söder,Markus Söder,cdu-politiker,1
Asyltourismus-Söder,Markus Söder,er macht manchmal politik gegen migranten,1
Asyltourismus-Söder,Markus Söder,rechts,1
Asyltourismus-Söder,Markus Söder,csu,1
Asyltourismus-Söder,Markus Söder,großes aufkommen von asylsuchenden 2020 und 2021,1
Atom-Greta,Greta Thunberg,klima,2
Atom-Greta,Greta Thunberg,verschwörung,1
Atom-Greta,Greta Thunberg,umwelt,1
Atom-Greta,Greta Thunberg,stark,1
Atom-Greta,Greta Thunberg,klimaaktivistin,1
Atom-Greta,Greta Thunberg,natur,1
Atom-Greta,Greta Thunberg,klimaschutz,1
Atom-Greta,Greta Thunberg,fridays for future,1
Atom-Greta,Greta Thunberg,atomkraft-support,1
Atom-Greta,Greta Thunberg,umweltaktivistin,1
Atom-Greta,Greta Thunberg,klimawandel,1
Atom-Merkel,Angela Merkel,bundeskanzlerin,2
Atom-Merkel,Angela Merkel,energiewende,1
Atom-Merkel,Angela Merkel,putin-nah,1
Atom-Merkel,Angela Merkel,mehr förderung der kohlekraftwerke als atomkraftwerke,1
Atom-Merkel,Angela Merkel,atomaustieg,1
Atom-Merkel,Angela Merkel,grüne energie,1
Atom-Merkel,Angela Merkel,atomausstieg nach fukushima-katastrophe,1
Atom-Merkel,Angela Merkel,verantwortlich für deutschen atomausstieg,1
Atom-Merkel,Angela Merkel,atom-ausstieg,1
Atom-Merkel,Angela Merkel,ex-bundeskanlerin,1
Atom-Merkel,Angela Merkel,mutti,1
Atom-Merkel,Angela Merkel,atomausstieg,1
Atom-Merkel,Angela Merkel,kanzlerin,1
Atom-Putin,Vladimir Putin,russland,2
Atom-Putin,Vladimir Putin,präsident,2
Atom-Putin,Vladimir Putin,bedrohung,1
Atom-Putin,Vladimir Putin,droht mit atom-krieg,1
Atom-Putin,Vladimir Putin,krieg,1
Atom-Putin,Vladimir Putin,atombomben,1
Atom-Putin,Vladimir Putin,invasion der ukraine,1
Atom-Putin,Vladimir Putin,drohte mit atom-bombe,1
Atom-Putin,Vladimir Putin,diktator,1
Atom-Putin,Vladimir Putin,eine nuklear-schlag-drohung nach der anderen,1
Atom-Putin,Vladimir Putin,uran aus russland,1
Atom-Putin,Vladimir Putin,ukraine-krieg,1
Audi-Andi,Andreas Scheuer,autobahnmaut,1
Audi-Andi,Andreas Scheuer,korruption,1
Audi-Andi,Andreas Scheuer,verkehrsminister,1
Audi-Andi,Andreas Scheuer,eitelkeit,1
Audi-Andi,Andreas Scheuer,maut,1
Audi-Andi,Andreas Scheuer,informell,1
Aufschrei-Brüderle,Rainer Brüderle,#aufschrei,1
Aufschrei-Brüderle,Rainer Brüderle,mögliche verbindung zu öffentlichen kontroversen,1
Augustus-Amthor,Philipp Amthor,ein 2. vorname,1
Augustus-Amthor,Philipp Amthor,aktien,1
Augustus-Amthor,Philipp Amthor,affäre,1
Augustus-Amthor,Philipp Amthor,es gab einen skandal als er für dies augustus-firma werbung gemacht hat,1
Augustus-Amthor,Philipp Amthor,jung,1
Augustus-Amthor,Philipp Amthor,unreif,1
Augustus-Amthor,Philipp Amthor,cdu-witzfigur,1
BVB-Brandt,Julian Brandt,fußballspieler,3
BVB-Brandt,Julian Brandt,fußball,1
BVB-Brandt,Julian Brandt,blond,1
BVB-Brandt,Julian Brandt,bvb,1
Banken-Steinbrück,Peer Steinbrück,enge kontakte zu banken,1
Banken-Steinbrück,Peer Steinbrück,spd-politiker,1
Banken-Steinbrück,Peer Steinbrück,auch sehr wirtschaftsnah,1
Banken-Steinbrück,Peer Steinbrück,ing,1
Banken-Steinbrück,Peer Steinbrück,bankhilfe,1
Banken-Steinbrück,Peer Steinbrück,kavallerie,1
Banken-Steinbrück,Peer Steinbrück,spd,1
Banken-Steinbrück,Peer Steinbrück,katastrophenaktie,1
Bienen-Söder,Markus Söder,csu,2
Bienen-Söder,Markus Söder,bayern,2
Bienen-Söder,Markus Söder,aggressiv,1
Bienen-Söder,Markus Söder,poltiker,1
Bierdeckel-Merz,Friedrich Merz,politiker,1
Bierdeckel-Merz,Friedrich Merz,guter gedanke,1
Bierdeckel-Merz,Friedrich Merz,er wollte dass die steuereklärung auf einen bierdeckel passt,1
Bierdeckel-Merz,Friedrich Merz,steuervereinfachung,1
Bierdeckel-Merz,Friedrich Merz,steuerklärung,1
Bierdeckel-Merz,Friedrich Merz,mehr belastungen,1
Bierdeckel-Merz,Friedrich Merz,cdu,1
Bierdeckel-Merz,Friedrich Merz,alter mann,1
Bierdeckel-Merz,Friedrich Merz,cdu-vorsitzender,1
Bierzelt-Söder,Markus Söder,bayern,4
Bierzelt-Söder,Markus Söder,oktoberfest,2
Bierzelt-Söder,Markus Söder,politik,1
Bierzelt-Söder,Markus Söder,alkoholiker,1
Bierzelt-Söder,Markus Söder,man weiß dass er gerne öfters bier trinkt,1
Bierzelt-Söder,Markus Söder,cdu-politiker,1
Bierzelt-Söder,Markus Söder,weil er aus bayern kommt,1
Bierzelt-Söder,Markus Söder,politiker,1
Bierzelt-Söder,Markus Söder,csu,1
Bierzelt-Söder,Markus Söder,ministerpräsident bayern,1
Bimbes-Kohl,Helmut Kohl,cdu,2
Bimbes-Kohl,Helmut Kohl,stottern,1
Bimbes-Kohl,Helmut Kohl,spendenaffäre,1
Bimbes-Kohl,Helmut Kohl,kanzler,1
Bimbes-Kohl,Helmut Kohl,ex-bundeskanzler,1
Bimbes-Kohl,Helmut Kohl,saumagen,1
Bimbes-Kohl,Helmut Kohl,ehemaliger bundeskanzler,1
Bimbes-Kohl,Helmut Kohl,spendeaffäre,1
Bimbes-Schäuble,Wolfgang Schäuble,cdu,3
Bimbes-Schäuble,Wolfgang Schäuble,parteispendenaffäre,1
Bimbes-Schäuble,Wolfgang Schäuble,alte schule,1
Bimbes-Schäuble,Wolfgang Schäuble,rollstuhl,1
Bimbes-Schäuble,Wolfgang Schäuble,spendenaffäre helmut kohl,1
Bimbes-Schäuble,Wolfgang Schäuble,ehemaliger cdu politiker,1
Bimbes-Schäuble,Wolfgang Schäuble,ehemaliger bundestags-präsident,1
BlackRock-Merz,Friedrich Merz,cdu,3
BlackRock-Merz,Friedrich Merz,reich,2
BlackRock-Merz,Friedrich Merz,weil er dort vielleicht einen aufsichtsratposten hat,1
BlackRock-Merz,Friedrich Merz,raffgierig,1
BlackRock-Merz,Friedrich Merz,politiker,1
BlackRock-Merz,Friedrich Merz,management blackrock,1
BlackRock-Merz,Friedrich Merz,privatflugzeug,1
BlackRock-Merz,Friedrich Merz,teilnehmer einer der reichsten investmentfirmen in der welt,1
Bomb-Obama,Barack Obama,krieg,1
Bomb-Obama,Barack Obama,lügen,1
Bomb-Obama,Barack Obama,ehemaliger us-präsident,1
Bomb-Obama,Barack Obama,bombe,1
Bomb-Obama,Barack Obama,us-präsident,1
Bomb-Obama,Barack Obama,syrien,1
Bomb-Obama,Barack Obama,drohnenkrieg,1
Bomben-Fischer,Joschka Fischer,joschi,1
Bomben-Fischer,Joschka Fischer,kosovokrieg,1
Bomben-Fischer,Joschka Fischer,grüner politiker,1
Bomben-Fischer,Joschka Fischer,weil er im kosovokrieg für einen militäreinsatz war,1
Bomben-Fischer,Joschka Fischer,außenminister,1
Bonusmeilen-Özdemir,Cem Özdemir,grüne,2
Bonusmeilen-Özdemir,Cem Özdemir,privatflüge,1
Bonusmeilen-Özdemir,Cem Özdemir,fundamentalistisch,1
Bonusmeilen-Özdemir,Cem Özdemir,lufthansa,1
Bonusmeilen-Özdemir,Cem Özdemir,grün,1
Bonusmeilen-Özdemir,Cem Özdemir,agrarminister,1
Bonusmeilen-Özdemir,Cem Özdemir,dienstliche bonusmeilen privat genutzt,1
Bonusmeilen-Özdemir,Cem Özdemir,durch lufthansabonusmeilen-affäre medial bekannt,1
Bonusmeilen-Özdemir,Cem Özdemir,grüner,1
Bonusmeilen-Özdemir,Cem Özdemir,bündnis 90/grüne,1
Bratwurst-Bobic,Fredi Bobic,hertha,1
Bratwurst-Bobic,Fredi Bobic,ex-fußball-profi,1
Bratwurst-Bobic,Fredi Bobic,interview,1
Brioni-Schröder,Gerhard Schröder,gerdshow,1
Brioni-Schröder,Gerhard Schröder,altkanzler,1
Brioni-Schröder,Gerhard Schröder,bundeskanzler,1
Burda-Spahn,Jens Spahn,korruption,2
Burda-Spahn,Jens Spahn,corona,2
Burda-Spahn,Jens Spahn,cdu,2
Burda-Spahn,Jens Spahn,eigensinnig,1
Burda-Spahn,Jens Spahn,gesundheitsminister,1
Burda-Spahn,Jens Spahn,gesundheitspolitik,1
Burda-Spahn,Jens Spahn,früherer gesundheitsminister,1
Burda-Spahn,Jens Spahn,cdu-mitglied,1
Bätschi-Nahles,Andrea Nahles,politik,1
Bätschi-Nahles,Andrea Nahles,pippi-langstrumpf,1
Bätschi-Nahles,Andrea Nahles,politische persönlichkeit,1
CDU-Laschet,Armin Laschet,kanzlerkandidat,3
CDU-Laschet,Armin Laschet,politiker,3
CDU-Laschet,Armin Laschet,nrw,1
CDU-Laschet,Armin Laschet,fast bundeskanzler,1
CDU-Laschet,Armin Laschet,cdu,1
CDU-Laschet,Armin Laschet,ist ministerpräsident,1
CDU-Laschet,Armin Laschet,nordrhein-westfalen,1
CDU-Laschet,Armin Laschet,kanzlerkanditat,1
CDU-Laschet,Armin Laschet,blaß,1
CDU-Scholz,Olaf Scholz,spd,2
CDU-Scholz,Olaf Scholz,konservativer politischer kurs,1
CDU-Scholz,Olaf Scholz,nordisch,1
CDU-Scholz,Olaf Scholz,bundeskanzler,1
CDU-Scholz,Olaf Scholz,olaf schäuble,1
CDU-Scholz,Olaf Scholz,deutscher bundeskanzler,1
CDU-Scholz,Olaf Scholz,deutscher kanzler,1
CDU-Scholz,Olaf Scholz,nicht-anwesender bundeskanzler,1
Change-Obama,Barack Obama,aufregend,1
Change-Obama,Barack Obama,veränderung,1
Change-Obama,Barack Obama,yes we can,1
Change-Obama,Barack Obama,zitat,1
Change-Obama,Barack Obama,politischer wandel,1
Change-Obama,Barack Obama,politiker,1
Change-Obama,Barack Obama,reformen,1
Change-Obama,Barack Obama,"wahlkampfmotto ""change we can believe in""",1
Change-Obama,Barack Obama,be the change,1
Crush-Ramelow,Bodo Ramelow,er spielte mal candy crush im landtag,1
Crush-Ramelow,Bodo Ramelow,candy crush,1
Crush-Ramelow,Bodo Ramelow,handyspiele,1
Crush-Ramelow,Bodo Ramelow,bundeswehr,1
Crush-Ramelow,Bodo Ramelow,ministerpräsident thüringen,1
Dahlem-Spahn,Jens Spahn,reich,1
Dahlem-Spahn,Jens Spahn,wohnort,1
Dahlem-Spahn,Jens Spahn,immobilienaffäre,1
Dahlem-Spahn,Jens Spahn,cdu,1
Dahlem-Spahn,Jens Spahn,umzug,1
Dahlem-Spahn,Jens Spahn,viertel,1
Demenz-Scholz,Olaf Scholz,bundeskanzler,4
Demenz-Scholz,Olaf Scholz,vergesslich,2
Demenz-Scholz,Olaf Scholz,vergesslichkeit,2
Demenz-Scholz,Olaf Scholz,interview-scheu,1
Demenz-Scholz,Olaf Scholz,cum-ex-affäre,1
Demenz-Scholz,Olaf Scholz,spd,1
Demenz-Scholz,Olaf Scholz,steuerhinterziehung,1
Demenz-Scholz,Olaf Scholz,wirecard,1
Demenz-Scholz,Olaf Scholz,kanzler,1
Diesel-Dobrindt,Alexander Dobrindt,verkehrsminister,1
Diesel-Dobrindt,Alexander Dobrindt,steuern,1
Diesel-Dobrindt,Alexander Dobrindt,skandal,1
Diesel-Dobrindt,Alexander Dobrindt,ehemaliger bundesverkehrsminister,1
Diesel-Scheuer,Andreas Scheuer,lobbyismus,1
Diesel-Scheuer,Andreas Scheuer,kurzsichtig,1
Diesel-Scheuer,Andreas Scheuer,verkehrsminister,1
Diesel-Scheuer,Andreas Scheuer,csu,1
Diesel-Scheuer,Andreas Scheuer,verkehrminister,1
Diesel-Scheuer,Andreas Scheuer,kritisch,1
Diesel-Scheuer,Andreas Scheuer,fahrverbote,1
Dinner-Spahn,Jens Spahn,cdu,2
Dinner-Spahn,Jens Spahn,isst viel,1
Dinner-Spahn,Jens Spahn,cdu-politiker,1
Dinner-Spahn,Jens Spahn,er geht gerne essen,1
Dinner-Spahn,Jens Spahn,bestechlich,1
Dinner-Spahn,Jens Spahn,haufen kohle,1
Dinner-Spahn,Jens Spahn,corona,1
Dinner-Spahn,Jens Spahn,ehemaliger gesundheitsminister,1
Dirndl-Brüderle,Rainer Brüderle,chauvinist,1
Dirndl-Brüderle,Rainer Brüderle,brüste,1
Dirndl-Brüderle,Rainer Brüderle,fdp,1
Dirndl-Brüderle,Rainer Brüderle,ehemaliger landwirtschaftsminister,1
Doktor-Giffey,Franziska Giffey,berlin,2
Doktor-Giffey,Franziska Giffey,cdu-politikerin,1
Doktor-Giffey,Franziska Giffey,plagiate,1
Doktor-Giffey,Franziska Giffey,plagiat,1
Doktor-Giffey,Franziska Giffey,neukölln,1
Doktor-Giffey,Franziska Giffey,ehemalige oberbürgermeisterin von berlin,1
Dosen-Trittin,Jürgen Trittin,hat etwas mit dem dosenpfand zu tun,1
Dosen-Trittin,Jürgen Trittin,politiker?,1
Dosen-Trittin,Jürgen Trittin,grüne,1
Dosen-Trittin,Jürgen Trittin,dosenpfand,1
Dosen-Trittin,Jürgen Trittin,die grünen,1
Dosen-Trittin,Jürgen Trittin,grüne partei,1
Drogen-Beck,Volker Beck,politiker,2
Drogen-Beck,Volker Beck,mögliche verbindung zu drogenpolitik,1
Drohnenkrieg-Obama,Barack Obama,ex-us-präsident,2
Drohnenkrieg-Obama,Barack Obama,usa,2
Drohnenkrieg-Obama,Barack Obama,politik,1
Drohnenkrieg-Obama,Barack Obama,führt kriege,1
Drohnenkrieg-Obama,Barack Obama,dass in den kriegen viele mit drohnen gekämpft wurden,1
Drohnenkrieg-Obama,Barack Obama,demokratischer präsident der usa vor trump,1
Drohnenkrieg-Obama,Barack Obama,hat bin laden erschießen lassen,1
Drohnenkrieg-Obama,Barack Obama,präsident,1
Drohnenkrieg-Obama,Barack Obama,irak,1
Drohnenkrieg-Obama,Barack Obama,bin laden,1
Drohnenkrieg-Obama,Barack Obama,ehemaiger präsident von usa,1
EM-Schweinsteiger,Bastian Schweinsteiger,fußballer,3
EM-Schweinsteiger,Bastian Schweinsteiger,schweini,1
EM-Schweinsteiger,Bastian Schweinsteiger,fußball,1
EM-Schweinsteiger,Bastian Schweinsteiger,mittelfeldspieler,1
EM-Schweinsteiger,Bastian Schweinsteiger,war oft das gesicht der dbf-elf zur wm,1
EM-Schweinsteiger,Bastian Schweinsteiger,sprint,1
Ehrenwort-Kohl,Helmut Kohl,cdu,3
Ehrenwort-Kohl,Helmut Kohl,bundeskanzler,2
Ehrenwort-Kohl,Helmut Kohl,integrität,1
Ehrenwort-Kohl,Helmut Kohl,legende,1
Ehrenwort-Kohl,Helmut Kohl,kanzler der einheiht,1
Ehrenwort-Kohl,Helmut Kohl,korruption,1
Ehrenwort-Kohl,Helmut Kohl,früherer bundeskanzler,1
Ehrenwort-Kohl,Helmut Kohl,ehemaliger kanzler,1
Ehrenwort-Kohl,Helmut Kohl,ehemaliger bundeskanzler,1
Enteignungs-Kühnert,Kevin Kühnert,spd,5
Enteignungs-Kühnert,Kevin Kühnert,wohnungsmangel,1
Enteignungs-Kühnert,Kevin Kühnert,unseriös,1
Enteignungs-Kühnert,Kevin Kühnert,wohneigentum,1
Enteignungs-Kühnert,Kevin Kühnert,grünen-politiker,1
Enteignungs-Kühnert,Kevin Kühnert,spd politiker,1
Enteignungs-Kühnert,Kevin Kühnert,vorschlag zur enteignung von großkonzernen,1
FDP-Kubicki,Wolfgang Kubicki,fdp,3
FDP-Kubicki,Wolfgang Kubicki,christian lindner,1
FDP-Kubicki,Wolfgang Kubicki,liberale partei,1
FDP-Kubicki,Wolfgang Kubicki,prominenter politiker der fdp,1
FDP-Lindner,Christian Lindner,finanzminister,2
FDP-Lindner,Christian Lindner,wendehals,1
FDP-Lindner,Christian Lindner,parteivorsitzender,1
FDP-Lindner,Christian Lindner,fdp-politiker,1
FDP-Lindner,Christian Lindner,liberal,1
FDP-Lindner,Christian Lindner,politiker,1
FDP-Lindner,Christian Lindner,politiker der fdp,1
FDP-Lindner,Christian Lindner,ist seine partei,1
FDP-Lindner,Christian Lindner,redet alles besser,1
FDP-Lindner,Christian Lindner,schnösel,1
FDP-Lindner,Christian Lindner,eingebildet,1
FDP-Lindner,Christian Lindner,ekelpaket,1
FFP2-Söder,Markus Söder,corona,2
FFP2-Söder,Markus Söder,wendehals,1
FFP2-Söder,Markus Söder,trug gerne ffp2 masken,1
FFP2-Söder,Markus Söder,unüberlegt,1
FFP2-Söder,Markus Söder,coronapandemie,1
FFP2-Söder,Markus Söder,ffp2-pflicht,1
FFP2-Söder,Markus Söder,corona-masken,1
FFP2-Söder,Markus Söder,csu,1
FFP2-Söder,Markus Söder,ministerpräsident,1
FFP2-Söder,Markus Söder,war ein eklatanter befürworter der ffp2-masken,1
FFP2-Söder,Markus Söder,maskenpflicht,1
FFP2-Söder,Markus Söder,maskenskandal,1
FFP2-Söder,Markus Söder,übergriffig,1
FFP2-Söder,Markus Söder,ministerpräsident bayern,1
FPÖ-Strache,Heinz-Christian Strache,österreich,2
FPÖ-Strache,Heinz-Christian Strache,österreichischer politiker,1
FPÖ-Strache,Heinz-Christian Strache,mallorca,1
Facebook-Seehofer,Horst Seehofer,bayern,1
Facebook-Seehofer,Horst Seehofer,cdu,1
Facebook-Seehofer,Horst Seehofer,wollte mehr kontrolle haben in den sozialen medien,1
Facebook-Seehofer,Horst Seehofer,politiker,1
Ferkel-Merkel,Angela Merkel,kanzlerin,2
Ferkel-Merkel,Angela Merkel,lustig,1
Ferkel-Merkel,Angela Merkel,lügnerin,1
Ferkel-Merkel,Angela Merkel,frühere bundeskanzlerin,1
Ferkel-Merkel,Angela Merkel,bundeskanzlerin,1
Ferkel-Merkel,Angela Merkel,verhält sich wie ein schwein,1
Ferkel-Merkel,Angela Merkel,fett,1
Ferkel-Merkel,Angela Merkel,ernst,1
Ferkel-Merkel,Angela Merkel,wikipedia-witz,1
Flexi-Merkel,Angela Merkel,bundeskanzlerin,2
Flexi-Merkel,Angela Merkel,inkonsistent,1
Flexi-Merkel,Angela Merkel,flexibel,1
Flexi-Merkel,Angela Merkel,cdu,1
Flexi-Merkel,Angela Merkel,zentristisch,1
Flüchtlings-Merkel,Angela Merkel,cdu,3
Flüchtlings-Merkel,Angela Merkel,flüchtlingskrise,2
Flüchtlings-Merkel,Angela Merkel,2015,2
Flüchtlings-Merkel,Angela Merkel,mama merkel,1
Flüchtlings-Merkel,Angela Merkel,bundeskanzlerin,1
Flüchtlings-Merkel,Angela Merkel,sogenannte flüchtlingskrise 2015,1
Flüchtlings-Merkel,Angela Merkel,2015 politik der offenen grenzen,1
Flüchtlings-Merkel,Angela Merkel,unruhen,1
Flüchtlings-Merkel,Angela Merkel,frühere deutsche bundeskanzlerin,1
Flüchtlings-Merkel,Angela Merkel,ehemalige deutsche kanzlerin,1
Flüchtlings-Merkel,Angela Merkel,ehemalige bundeskanzlerin,1
Folter-Bush,George Bush,guantanamo,2
Folter-Bush,George Bush,kriegstreiber,1
Folter-Bush,George Bush,ehemaliger us-präsident,1
Folter-Bush,George Bush,weil bush in guantanamo unschuldige foltern ließ,1
Folter-Bush,George Bush,wusste bescheid,1
Folter-Bush,George Bush,9/11,1
Folter-Bush,George Bush,amerika,1
Folter-Bush,George Bush,ehemaliger präsident usa,1
Fukushima-Merkel,Angela Merkel,bundeskanzlerin,2
Fukushima-Merkel,Angela Merkel,japan,2
Fukushima-Merkel,Angela Merkel,wendehals,1
Fukushima-Merkel,Angela Merkel,fukushima-katastrophe,1
Fukushima-Merkel,Angela Merkel,hinterläßt verwüstung,1
Fukushima-Merkel,Angela Merkel,frühere kanzlerin,1
Fukushima-Merkel,Angela Merkel,hilfsbereit,1
Fukushima-Merkel,Angela Merkel,kernkraftausstieg,1
G20-Scholz,Olaf Scholz,spd,2
G20-Scholz,Olaf Scholz,hamburg,2
G20-Scholz,Olaf Scholz,gipfeltreffen,1
G20-Scholz,Olaf Scholz,unkommunikativ,1
G20-Scholz,Olaf Scholz,bundeskanzler,1
G20-Scholz,Olaf Scholz,umgang mit den g20-gegner_innen,1
G20-Scholz,Olaf Scholz,deutscher bundeskanzler,1
G20-Scholz,Olaf Scholz,deutscher kanzler,1
G20-Scholz,Olaf Scholz,g20 gipfel in indien,1
G20-Scholz,Olaf Scholz,augenklappe,1
Gas-Putin,Vladimir Putin,russland,2
Gas-Putin,Vladimir Putin,staatsoberhaupt russland,2
Gas-Putin,Vladimir Putin,krieg,2
Gas-Putin,Vladimir Putin,handelt mit gas,1
Gas-Putin,Vladimir Putin,wir waren von russland abhängig bezüglich gaslieferungen,1
Gas-Putin,Vladimir Putin,erpresser,1
Gas-Putin,Vladimir Putin,korruption,1
Gas-Putin,Vladimir Putin,eiskalte augen,1
Gas-Putin,Vladimir Putin,regierungsoberhaupt russland,1
Gas-Schröder,Gerhard Schröder,bundeskanzler,2
Gas-Schröder,Gerhard Schröder,machte gas-deals mit den russen,1
Gas-Schröder,Gerhard Schröder,russlandgas,1
Gas-Schröder,Gerhard Schröder,rudsslandfreund,1
Gas-Schröder,Gerhard Schröder,russland,1
Gas-Schröder,Gerhard Schröder,gazprom,1
Gas-Schröder,Gerhard Schröder,ehemaliger bundeskanzler,1
Gas-Schröder,Gerhard Schröder,kanzler,1
Gas-Schröder,Gerhard Schröder,auf die vernetzung zu gazprom,1
Gas-Schröder,Gerhard Schröder,putin,1
Gas-Schröder,Gerhard Schröder,alt,1
Gas-Schröder,Gerhard Schröder,medienkampagne,1
Gazprom-Schröder,Gerhard Schröder,spd,4
Gazprom-Schröder,Gerhard Schröder,bundeskanzler,2
